Cluster 0 Summary
Number of Plants: 12513
Total Capacity: 1,196,634.6 MW
Average Distance to Cluster Center: 1378.39 km
Closest Plant to Menomonie: "Menomonie" (1.2 km)
Primary Sources:
  - solar: 5783
  - natural gas: 1963
  - hydroelectric: 1359
  - wind: 1323
  - petroleum: 759
  - biomass: 603
  - batteries: 294
  - coal: 200
  - other: 74
  - geothermal: 66
  - nuclear: 54
  - pumped storage: 35

Plant-Level Data:
Plant_Name,PrimSource,Total_MW,Distance_km,Cluster,Dist_to_ClusterCenter
East Highline,hydroelectric,1.0,2421.9024850148626,0,2168.7028753113773
J C McNeil,biomass,52.0,1476.6548818018657,0,1709.8864536753758
Christiana,petroleum,50.0,1460.3461878993314,0,1451.111893454594
Delaware City 10,petroleum,18.0,1460.5375809278173,0,1443.7873970348842
Edge Moor,natural gas,707.0,1462.3911796573057,0,1453.9363657580582
Indian River Generating Station,coal,426.1,1547.1622700441196,0,1485.2992201338343
West Station (DE),petroleum,15.0,1453.544221830988,0,1443.2670507920052
Brandon Shores,coal,1273.0,1416.3660149984805,0,1367.5289791048583
Fredonia,natural gas,280.0,2346.2805404686687,0,2627.704147139242
Cape Canaveral,natural gas,1290.0,2073.247584958887,0,1567.3093149551362
Fort Myers,natural gas,2735.5,2214.3174479798067,0,1664.9541521336396
Lauderdale,natural gas,1223.6,2339.4141412907456,0,1812.373198432806
Port Everglades,natural gas,1237.0,2340.6193224800577,0,1815.1279884012474
Riviera,natural gas,1290.0,2274.659535843722,0,1758.9581133578133
Sanford,natural gas,2352.0,2012.5522727960936,0,1500.4306743848424
Turkey Point,nuclear,2952.1,2398.8810111147104,0,1862.3405187950182
South Fork Tolt,hydroelectric,16.8,2301.554735326156,0,2562.2387395907435
Upper Mechanicville,hydroelectric,18.4,1474.4722366097285,0,1634.3413101331532
Oak Flat,hydroelectric,1.3,2442.780657344142,0,2466.8841166548427
Bayboro,petroleum,150.5,2073.8058432879247,0,1520.0133717648675
Crystal River,natural gas,3027.0,1946.6780233043046,0,1406.8771075220477
Newcastle,hydroelectric,11.5,2492.786231689349,0,2478.9399302519823
P L Bartow,natural gas,1280.0,2064.457032398148,0,1512.5112828362362
Suwannee River,natural gas,145.0,1783.9086270433734,0,1254.62234694995
Gulf Clean Energy Center,natural gas,1858.2,1643.0814393324993,0,1025.4026456639442
Lansing Smith,natural gas,692.0,1712.8474348967106,0,1124.2461960645808
Big Bend,natural gas,1580.4,2078.2787591462147,0,1529.495304293355
Vogtle,nuclear,4530.0,1569.5280940877026,0,1139.8513109040582
Deerhaven Generating Station,natural gas,414.0,1877.1815903287404,0,1356.1402976364718
